owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
MatsuriDayo,NekoBoxForAndroid,MatsuriDayo/NekoBoxForAndroid,17025,1381,Kotlin,39,9.0,rapid,2500,False,,,,,,,,,,,,,,
material-components,material-components-android,material-components/material-components-android,17020,3195,Java,114,22.0,rapid,24200,False,,,,,,,,,,,,,,
netchx,netch,netchx/netch,17019,2796,C#,76,8.5,rapid,1300,True,2025-11-17T12:32:32.594597,0,0,4,20,0.0,0.0,156,27,23,1.0,1.0,1.0,OK
Qv2ray,Qv2ray,Qv2ray/Qv2ray,16988,3233,C++,53,6.0,rapid,6200,False,,,,,,,,,,,,,,
bluenviron,mediamtx,bluenviron/mediamtx,16985,2023,Go,177,11.0,rapid,9900,False,,,,,,,,,,,,,,
wled,WLED,wled/WLED,16966,3828,C++,64,29.5,rapid,32100,False,,,,,,,,,,,,,,
bvaughn,react-window,bvaughn/react-window,16951,817,TypeScript,23,11.0,rapid,3900,False,,,,,,,,,,,,,,
Foundry376,Mailspring,Foundry376/Mailspring,16860,946,JavaScript,66,20.0,rapid,26600,False,,,,,,,,,,,,,,
koel,koel,koel/koel,16850,2060,PHP,140,7.5,rapid,9500,False,,,,,,,,,,,,,,
henrygd,beszel,henrygd/beszel,16819,537,Go,54,5.0,rapid,8600,False,,,,,,,,,,,,,,
pinojs,pino,pinojs/pino,16807,937,JavaScript,313,7.0,rapid,36900,False,,,,,,,,,,,,,,
ipfs,kubo,ipfs/kubo,16792,3118,Go,120,13.0,rapid,44700,False,,,,,,,,,,,,,,
nikitabobko,AeroSpace,nikitabobko/AeroSpace,16792,345,Swift,56,7.0,rapid,4300,False,,,,,,,,,,,,,,
kitao,pyxel,kitao/pyxel,16777,906,Rust,141,5.0,rapid,6700,False,,,,,,,,,,,,,,
ffmpegwasm,ffmpeg.wasm,ffmpegwasm/ffmpeg.wasm,16755,1017,C,43,12.0,rapid,7700,False,,,,,,,,,,,,,,
hubotio,hubot,hubotio/hubot,16752,3741,JavaScript,75,15.5,rapid,31200,False,,,,,,,,,,,,,,
tensorflow,tensor2tensor,tensorflow/tensor2tensor,16717,3692,Python,75,8.0,rapid,24400,False,,,,,,,,,,,,,,
Grasscutters,Grasscutter,Grasscutters/Grasscutter,16705,4420,Java,20,29.0,rapid,21600,False,,,,,,,,,,,,,,
graphql,graphiql,graphql/graphiql,16703,1800,TypeScript,1076,5.0,rapid,30300,False,,,,,,,,,,,,,,
ent,ent,ent/ent,16694,993,Go,33,22.5,rapid,24000,False,,,,,,,,,,,,,,
ory,hydra,ory/hydra,16680,1590,Go,204,10.0,rapid,31500,False,,,,,,,,,,,,,,
briannesbitt,Carbon,briannesbitt/Carbon,16652,1297,PHP,254,11.0,rapid,35600,False,,,,,,,,,,,,,,
forwardemail,superagent,forwardemail/superagent,16643,1329,JavaScript,98,21.0,rapid,28400,False,,,,,,,,,,,,,,
