owner,name,stars,forks,language,release_count,contributors,median_release_interval,release_type,reason
studyzy,imewlconverter,9291,676,C#,22,1600,98,SLOW,98 dias (mediana) entre releases
owasp-modsecurity,ModSecurity,9284,1697,C++,36,13400,100,SLOW,100 dias (mediana) entre releases
LMMS,lmms,9256,1108,C++,55,30100,100.5,SLOW,100.5 dias (mediana) entre releases
PaddlePaddle,PaddleSeg,9216,1710,Python,20,13000,82,SLOW,82 dias (mediana) entre releases
VirusTotal,yara,9202,1534,C,47,22500,68,SLOW,68 dias (mediana) entre releases
etcd-io,bbolt,9199,708,Go,24,23500,89,SLOW,89 dias (mediana) entre releases
Humanizr,Humanizer,9196,1001,C#,28,28600,78.0,SLOW,78.0 dias (mediana) entre releases
Stellarium,stellarium,9177,953,C++,65,22800,90,SLOW,90 dias (mediana) entre releases
jsvine,pdfplumber,9116,825,Python,41,4100,65,SLOW,65 dias (mediana) entre releases
diasurgical,DevilutionX,9114,926,C++,22,26500,143,SLOW,143 dias (mediana) entre releases
canonical,microk8s,9078,813,Python,29,18000,62.0,SLOW,62.0 dias (mediana) entre releases
AirtestProject,Airtest,8988,1380,Python,24,6100,67,SLOW,67 dias (mediana) entre releases
dr5hn,countries-states-cities-database,8954,2903,Python,27,7500,61,SLOW,61 dias (mediana) entre releases
pyro-ppl,pyro,8912,1006,Python,35,16100,64,SLOW,64 dias (mediana) entre releases
NopeCHALLC,nopecha-extension,8905,141,JavaScript,24,400,194.0,SLOW,194.0 dias (mediana) entre releases
flowable,flowable-engine,8876,2766,Java,28,38800,73,SLOW,73 dias (mediana) entre releases
myclabs,DeepCopy,8875,108,PHP,38,3600,119,SLOW,119 dias (mediana) entre releases
hashicorp,raft,8827,1044,Go,26,12700,58.0,SLOW,58.0 dias (mediana) entre releases
mozilla,nunjucks,8823,647,JavaScript,36,15700,59.5,SLOW,59.5 dias (mediana) entre releases
NVIDIA,cutlass,8785,1529,C++,43,22700,58,SLOW,58 dias (mediana) entre releases
kivy,python-for-android,8782,1998,Python,20,26800,104,SLOW,104 dias (mediana) entre releases
jorgebucaran,fisher,8782,277,Shell,62,7400,52,SLOW,52 dias (mediana) entre releases
dessant,buster,8772,651,JavaScript,20,200,63,SLOW,63 dias (mediana) entre releases
testssl,testssl.sh,8691,1105,Shell,31,15100,110.0,SLOW,110.0 dias (mediana) entre releases
golang-jwt,jwt,8666,420,Go,22,11500,56.0,SLOW,56.0 dias (mediana) entre releases
async-profiler,async-profiler,8640,942,C++,35,7400,58,SLOW,58 dias (mediana) entre releases
veracrypt,VeraCrypt,8635,1098,C,36,11500,56.0,SLOW,56.0 dias (mediana) entre releases
VowpalWabbit,vowpal_wabbit,8615,1932,C++,30,33700,63,SLOW,63 dias (mediana) entre releases
unicorn-engine,unicorn,8582,1450,C,29,25700,59.0,SLOW,59.0 dias (mediana) entre releases
jonobr1,two.js,8555,463,JavaScript,38,6200,69.5,SLOW,69.5 dias (mediana) entre releases
pillarjs,path-to-regexp,8522,446,TypeScript,30,3900,54.5,SLOW,54.5 dias (mediana) entre releases
phpspec,prophecy,8505,244,PHP,47,13300,82.0,SLOW,82.0 dias (mediana) entre releases
google,tsunami-security-scanner,8478,920,Java,27,3300,62,SLOW,62 dias (mediana) entre releases
intel,ipex-llm,8456,1385,Python,22,11900,108.0,SLOW,108.0 dias (mediana) entre releases
Nevcairiel,LAVFilters,8452,818,C++,34,2100,109.5,SLOW,109.5 dias (mediana) entre releases
NVIDIA,cuda-samples,8448,2180,C,26,1500,100.5,SLOW,100.5 dias (mediana) entre releases
RSS-Bridge,rss-bridge,8446,1174,PHP,37,36800,51.5,SLOW,51.5 dias (mediana) entre releases
mopidy,mopidy,8404,699,Python,20,14400,96.0,SLOW,96.0 dias (mediana) entre releases
hs-web,hsweb-framework,8397,3044,Java,32,3200,84,SLOW,84 dias (mediana) entre releases
delta-io,delta,8396,1955,Scala,31,41300,62,SLOW,62 dias (mediana) entre releases
