owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
lra,mackup,lra/mackup,14953,940,Python,32,72.0,slow,48700,True,2025-11-16T17:50:57.462054,0,0,25,235,0.0,1.3,1628,270,323,1.0,1.0,1.0,OK
laramies,theHarvester,laramies/theHarvester,14941,2336,Python,31,50.5,slow,11300,True,2025-11-16T17:50:56.403675,7,1,312,3907,0.0,1.4,8719,1952,3735,4.0,4.0,1.0,OK
caronc,apprise,caronc/apprise,14910,530,Python,56,51.0,slow,9500,True,2025-11-16T17:52:22.326324,24,2,997,6809,0.0,6.0,97921,8415,10113,5.0,5.0,1.0,OK
PuerkitoBio,goquery,PuerkitoBio/goquery,14780,927,Go,23,106.0,slow,5300,True,2025-11-16T17:52:05.110871,9,0,251,1286,0.0,0.0,7445,1242,903,3.0,1.0,1.0,OK
Perfare,AssetStudio,Perfare/AssetStudio,14757,2813,C#,24,73.5,slow,2300,True,2025-11-16T17:52:01.862535,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
kubernetes-sigs,kind,kubernetes-sigs/kind,14740,1681,Go,36,60.0,slow,35500,True,2025-11-16T17:52:28.443468,7,11,258,1441,0.0,12.9,17926,2436,2450,3.0,3.0,1.0,OK
powerline,powerline,powerline/powerline,14644,1006,Python,23,85.0,slow,15300,True,2025-11-16T17:52:32.081557,14,0,384,3187,0.0,0.9,21001,3982,4789,5.0,1.0,1.0,OK
neovide,neovide,neovide/neovide,14556,580,Rust,30,51.0,slow,22200,True,2025-11-16T17:52:57.644717,2,0,28,155,0.0,0.2,18774,2796,1544,5.0,1.0,1.0,OK
FLEXTool,FLEX,FLEXTool/FLEX,14485,1770,Objective-C,31,54.5,slow,12200,True,2025-11-16T17:52:54.678956,0,0,14,34,0.0,0.0,112,11,18,1.0,1.0,1.0,OK
arduino,Arduino,arduino/Arduino,14471,6998,Java,37,72.0,slow,30400,False,,,,,,,,,,,,,,
google,brotli,google/brotli,14423,1303,TypeScript,22,78.0,slow,12000,False,,,,,,,,,,,,,,
scala,scala,scala/scala,14421,3105,Scala,78,53.5,slow,72100,False,,,,,,,,,,,,,,
shelljs,shelljs,shelljs/shelljs,14379,744,JavaScript,20,76.5,slow,9500,True,2025-11-16T17:53:57.634703,12,0,739,4757,0.0,12.1,8727,1530,1017,4.0,1.0,1.0,OK
glfw,glfw,glfw/glfw,14367,5683,C,22,103.0,slow,20300,True,2025-11-16T17:53:46.782745,0,0,3,3,0.0,0.0,5222,2,0,1.0,1.0,1.0,OK
flairNLP,flair,flairNLP/flair,14324,2131,Python,28,69.0,slow,27600,True,2025-11-16T17:54:09.849135,23,0,868,6625,0.0,3.5,38035,6354,7036,5.0,1.0,1.0,OK
keycastr,keycastr,keycastr/keycastr,14303,549,Objective-C,26,110.0,slow,2700,True,2025-11-16T17:53:42.490536,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
direnv,direnv,direnv/direnv,14283,726,Go,64,55.5,slow,24800,True,2025-11-16T17:54:02.008529,0,0,15,155,0.0,1.3,4129,812,736,1.0,1.0,1.0,OK
beetbox,beets,beetbox/beets,14270,1942,Python,41,62.5,slow,62700,True,2025-11-16T17:55:05.682890,38,0,764,4660,0.0,0.6,50534,9042,8209,4.0,1.0,1.0,OK
davisking,dlib,davisking/dlib,14226,3455,C++,34,80.5,slow,20700,True,2025-11-16T17:55:33.007856,100,0,84,553,0.0,0.6,29083,325,333,4.0,1.0,1.0,OK
